full_id,osm_id,osm_type,amenity,addr:country,addr:housenumber,addr:postcode,addr:street,ale,brand,brand:wikidata,brand:wikipedia,email,food,name,opening_hours,operator,phone,toilets,toilets:access,website,wheelchair,barrier,changing_table,fee,female,male,addr:city,fhrs:confidence_management,fhrs:hygiene,fhrs:id,fhrs:local_authority_id,fhrs:rating,fhrs:structural,real_ale,source:addr,source:postcode,wikidata,access,layer,operator:type,parking,collection_times,drive_through,post_box:apertures,post_box:type,ref,royal_cypher,floor,toilets:wheelchair,booth,covered,atm:count,level,old_name,cuisine,takeaway,atm,leisure,entrance,post_box:design,post_box:manufacturer,bicycle_parking,capacity,healthcare,addr:housename,ref:pol_id,type,addr:flats,colour,motor_vehicle,fuel:diesel,fuel:lpg,fuel:octane_95,outdoor_seating,fryup,wikipedia,location,recycling:cans,recycling:clothes,recycling:glass_bottles,recycling:paper,recycling:plastic,recycling:plastic_packaging,recycling:shoes,recycling:small_electrical_appliances,recycling_type,denomination,religion,service_times,address,outdoor,number_of,postal_code,door,smoking,collection_plate,collection_times_checked,short_name,official_name,ref:navads,dispensing,capacity:disabled,recycling:glass,man_made,surveillance,recycling:aerosols,drinking_water,branch,contact:phone,contact:website,alt_name,url,disused:amenity,historic_name,diet:vegetarian,source:addr:postcode,description,disused,contact:email,contact:fax,brewery,craft_keg,internet_access,name:en,smoothness,surface,disused:highway,naptan:AtcoCode,naptan:Bearing,naptan:CommonName,naptan:Indicator,naptan:verified,public_transport,tourism,alcohol,payment:american_express,cargo,ferry,network,delivery,old_fhrs:id,old_fhrs:local_authority_id,diet:vegan,internet_access:fee,seating,addr:unit,fax,opening_hours:covid19,shop,mailtypes,theatre:genre,artwork_type,display,support,bicycle,foot,uri,motorcar,motorcycle,contact:facebook,contact:instagram,contact:twitter,crossing,crossing_ref,highway,vending,historic:ref,local,official_ref,authority,authentication:membership_card,start_date,last_collection,backrest,source:ref,fish,meat,organic,vegetables,payment:coins,source:name,air_conditioning,bar,payment:contactless,payment:credit_cards,payment:debit_cards,reservation,diet:dairy_free,diet:lactose_free,diet:meat,diet:organic,payment:cash,source:opening_hours,community_centre:for,max_age,min_age,material,seats,preschool,movable,permanent,cyclestreets_id,addr:floor,designation,check_date:wheelchair,int_name,maxheight,waste_disposal,recycling:cardboard,recycling:waste,recycling:small_appliances,step_count,wheelchair:description,contact:pinterest,payment:mastercard,payment:visa,image,maintenance,source:pkey,bottle,building:levels,real_cider,internet_access:ssid,wifi,old_operator,exit,sport,name:zh,source:position,mapillary,survey:date,natural,payment:notes,centralkey,sanitary_dump_station,sanitary_dump_station:accepted,sanitary_dump_station:basin,sanitary_dump_station:pump-out,waste,waterway,check_date,bench,toilets:disposal,halal,mail:franked,mail:stamped,building:level,diet:kosher,check_date:capacity,socket:tesla_supercharger,tesla:ref,lit,maxstay,payment:telephone_cards,supervised,shisha,unisex,nhs,historic,inscription,memorial,openplaques:id,disused:name,old:opening_hours,stars,disused:addr:postcode,addr:district,park_ride,indoor,waste_type,access:note,cash_in,charge,power_supply,currency:GBP,isced:level,name:es,last_check,name:it,fhrs:authority,operator:wikidata,collection_times:signed,authentication:nfc,authentication:none,authentication:phone_call,authentication:short_message,car,scooter,truck,drink:beer,drink:coffee,drink:tea,drink:wine,note:name,drink:natural_wine,building,healthcare:speciality,name:ro,direction,country,diplomatic,diplomatic:services:non-immigrant_visas,embassy,office,target,addr:interpolation,facebook,instagram,twitter,faces,visibility,website:operator,diet:pescetarian,diet:raw,opening_hours:signed,service:bicycle:pump,service:bicycle:stand,service:bicycle:tools,studio,not:network,language:en,was:amenity,was:network,was:official_ref,service:bicycle:chain_tool,fountain,source:addr:housenumber,socket:type2,charging_station,pedalboat_rental,tfl_id,name:ru,private,public_bookcase:type,building:colour,building:material,roof:levels,currency:others,bus,tickets:public_transport,recycling:aluminium,recycling:beverage_cartons,recycling:books,recycling:cartons,recycling:magazines,recycling:newspaper,recycling:paper_packaging,recycling:plastic_bottles,recycling:scrap_metal,recycling:wood,building:part,diet:halal,bollard,height,voltage,source:addr:website,social_facility,social_facility:for
n99884,"99884",node,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n15262028,"15262028",node,pub,GB,"30",W2 1JQ,Southwick Street,yes,Hall & Woodhouse,Q5642555,en:Hall & Woodhouse,gary@themonkeypuzzlepub.co.uk,yes,The Monkey Puzzle,Mo-Su 11:00-23:00,Hall & Woodhouse,+44 20 7723 0143,yes,customers,http://themonkeypuzzlepub.co.uk,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n20821133,"20821133",node,pub,,,,,,,,,,,The Union Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n25475986,"25475986",node,,,,,,,,,,,,,,,,,,,,lift_gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n26819248,"26819248",node,toilets,,,,,,,,,,,Queensway,Mo-Su 07:30-00:30,City of Westminster,,,,,,,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n26819333,"26819333",node,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n26819335,"26819335",node,telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n27017235,"27017235",node,pub,,,,,,,,,,,Sir John Balcombe,,,,yes,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n27512718,"27512718",node,pub,,"114",,Lots Road,,,,,,,Lots Road,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n27718642,"27718642",node,pub,,"6",SW1X 8HT,Belgrave Mews West,,,,,,,The Star Tavern,"Mo-Fr 11:00-23:00; Sa 12:00-23:00; Su 12:00-22:30",Fuller's,,,,https://www.star-tavern-belgravia.co.uk/,no,,,,,,London,"0","0","427688",00010/0006/0/000,"5","5",yes,FSA Food Hygiene Ratings Database,FSA Food Hygiene Ratings Database,Q17021189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
